group,method,environment,seeds,mean_last10,stderr_last10
no_shared,Curv256 d=.03 (5s),humanoidstandup,5,167380.0,4974.072777915499
no_shared,Curv256 d=.03 (5s),swimmer,5,331.5800000000002,13.044669409379368
no_shared,Curv256 d=.03 (5s),walker2d,5,4761.2,159.70078271567738
no_shared,Curv256 d=.1 (5s),ant,5,4689.8,184.9436130284039
no_shared,Curv256 d=.1 (5s),halfcheetah,5,6408.399999999999,110.62124569900617
no_shared,Curv256 d=.1 (5s),hopper,5,3193.6,205.93921433277342
no_shared,Curv256 d=.1 (5s),humanoid,5,5860.6,255.6432279564628
no_shared,Curv256 d=.1 (5s),humanoidstandup,5,160520.0,1313.9254164525473
no_shared,Curv256 d=.1 (5s),swimmer,5,323.64,8.883163850790998
no_shared,Curv256 d=.1 (5s),walker2d,5,4137.0,256.1493704852698
no_shared,Energy-free255+1 d=.03 (5s),ant,5,5204.4,76.24145853798967
no_shared,Energy-free255+1 d=.03 (5s),halfcheetah,5,6783.0,70.8738315600335
no_shared,Energy-free255+1 d=.03 (5s),hopper,5,3642.0,96.00260413134635
no_shared,Energy-free255+1 d=.03 (5s),humanoid,5,6599.0,86.250797097766
no_shared,Energy-free255+1 d=.03 (5s),humanoidstandup,5,163660.0,713.8627319029898
no_shared,Energy-free255+1 d=.03 (5s),swimmer,5,336.36,10.861196987441113
no_shared,Energy-free255+1 d=.03 (5s),walker2d,5,4789.0,85.71114279952168
no_shared,Energy-free255+1 d=.1 (5s),ant,5,5009.8,32.4197470687234
no_shared,Energy-free255+1 d=.1 (5s),halfcheetah,5,6270.800000000001,266.34815561591535
no_shared,Energy-free255+1 d=.1 (5s),hopper,5,3499.4,79.0041771047582
no_shared,Energy-free255+1 d=.1 (5s),humanoid,5,6432.4,215.77085067265224
no_shared,Energy-free255+1 d=.1 (5s),humanoidstandup,5,162860.0,752.0638270785266
no_shared,Energy-free255+1 d=.1 (5s),swimmer,5,287.58000000000004,33.69892283144967
no_shared,Energy-free255+1 d=.1 (5s),walker2d,5,4621.2,112.71929737183424
no_shared,Grouped-rho4 legacy d=.03 (5s),ant,5,3922.0,302.5440463800271
no_shared,Grouped-rho4 legacy d=.03 (5s),halfcheetah,5,6410.4,422.20973461065535
no_shared,Grouped-rho4 legacy d=.03 (5s),hopper,5,3353.6,98.25100508391759
no_shared,Grouped-rho4 legacy d=.03 (5s),humanoid,5,6673.4,78.08239238138135
no_shared,Grouped-rho4 legacy d=.03 (5s),humanoidstandup,5,185780.0,16312.43084276528
no_shared,Grouped-rho4 legacy d=.03 (5s),swimmer,5,312.3799999999999,4.537664597565611
no_shared,Grouped-rho4 legacy d=.03 (5s),walker2d,5,4853.0,405.73193120581476
no_shared,Grouped-rho4 legacy d=.1 (5s),ant,5,4616.4,150.7241188396867
no_shared,Grouped-rho4 legacy d=.1 (5s),halfcheetah,5,6742.4,149.19772116222148
no_shared,Grouped-rho4 legacy d=.1 (5s),hopper,5,3365.6,35.103561072916804
